agent_id,o_zone_id,d_zone_id,o_node_id,d_node_id,node_sequence
96,4,22,4,22,4;11;14;15;22
97,4,22,4,22,4;11;14;23;22
98,4,23,4,23,4;11;14;23
99,4,24,4,24,4;3;12;13;24
100,5,1,5,1,5;4;3;1
101,5,2,5,2,5;6;2
102,5,3,5,3,5;4;3
103,5,4,5,4,5;4
104,5,6,5,6,5;6
105,5,7,5,7,5;6;8;7
106,5,8,5,8,5;6;8
107,5,9,5,9,5;9
108,5,10,5,10,5;9;10
109,5,11,5,11,5;4;11
110,5,12,5,12,5;4;3;12
111,5,13,5,13,5;4;3;12;13
112,5,14,5,14,5;4;11;14
113,5,15,5,15,5;9;10;15
114,5,16,5,16,5;6;8;16
115,5,17,5,17,5;6;8;16;17
116,5,18,5,18,5;6;8;7;18
117,5,19,5,19,5;6;8;16;17;19
118,5,20,5,20,5;6;8;7;18;20
119,5,21,5,21,5;9;10;15;22;21
120,5,22,5,22,5;9;10;15;22
121,5,23,5,23,5;4;11;14;23
122,5,24,5,24,5;4;3;12;13;24
123,6,1,6,1,6;2;1
124,6,2,6,2,6;2
125,6,3,6,3,6;5;4;3
126,6,4,6,4,6;5;4
127,6,5,6,5,6;5
128,6,7,6,7,6;8;7
129,6,8,6,8,6;8
130,6,9,6,9,6;5;9
131,6,10,6,10,6;8;16;10
132,6,11,6,11,6;5;4;11
133,6,12,6,12,6;5;4;3;12
134,6,13,6,13,6;5;4;3;12;13
135,6,14,6,14,6;5;4;11;14
136,6,15,6,15,6;8;16;17;19;15
137,6,16,6,16,6;8;16
138,6,17,6,17,6;8;16;17
139,6,18,6,18,6;8;7;18
140,6,19,6,19,6;8;16;17;19
141,6,20,6,20,6;8;7;18;20
142,6,21,6,21,6;8;7;18;20;21
143,6,22,6,22,6;8;7;18;20;22
144,6,23,6,23,6;5;4;11;14;23
145,6,24,6,24,6;8;7;18;20;21;24
146,7,1,7,1,7;8;6;2;1
147,7,2,7,2,7;8;6;2
148,7,3,7,3,7;8;6;5;4;3
149,7,4,7,4,7;8;6;5;4
150,7,5,7,5,7;8;6;5
151,7,6,7,6,7;8;6
152,7,8,7,8,7;8
153,7,9,7,9,7;18;16;10;9
154,7,10,7,10,7;18;16;10
155,7,11,7,11,7;18;16;10;11
156,7,12,7,12,7;8;6;5;4;3;12
157,7,13,7,13,7;18;20;21;24;13
158,7,14,7,14,7;18;16;17;19;15;14
159,7,15,7,15,7;18;16;17;19;15
160,7,16,7,16,7;18;16
161,7,17,7,17,7;18;16;17
162,7,18,7,18,7;18
163,7,19,7,19,7;18;16;17;19
164,7,20,7,20,7;18;20
165,7,21,7,21,7;18;20;21
166,7,22,7,22,7;18;20;22
167,7,23,7,23,7;18;20;22;23
168,7,24,7,24,7;18;20;21;24
169,8,1,8,1,8;6;2;1
170,8,2,8,2,8;6;2
171,8,3,8,3,8;6;5;4;3
172,8,4,8,4,8;6;5;4
173,8,5,8,5,8;6;5
174,8,6,8,6,8;6
175,8,7,8,7,8;7
176,8,9,8,9,8;9
177,8,10,8,10,8;16;10
178,8,11,8,11,8;16;10;11
179,8,12,8,12,8;6;5;4;3;12
180,8,13,8,13,8;6;5;4;3;12;13
181,8,14,8,14,8;16;17;19;15;14
182,8,15,8,15,8;16;17;19;15
183,8,16,8,16,8;16
184,8,17,8,17,8;16;17
185,8,18,8,18,8;7;18
186,8,19,8,19,8;16;17;19
187,8,20,8,20,8;7;18;20
188,8,21,8,21,8;7;18;20;21
189,8,22,8,22,8;7;18;20;22
190,8,23,8,23,8;7;18;20;22;23
191,8,24,8,24,8;7;18;20;21;24
192,9,1,9,1,9;5;4;3;1
193,9,2,9,2,9;5;6;2
194,9,3,9,3,9;5;4;3
195,9,4,9,4,9;5;4
196,9,5,9,5,9;5
197,9,6,9,6,9;5;6
198,9,7,9,7,9;10;16;18;7
199,9,8,9,8,9;8
200,9,10,9,10,9;10
201,9,11,9,11,9;10;11
202,9,12,9,12,9;10;11;12
203,9,13,9,13,9;10;11;12;13
204,9,14,9,14,9;10;11;14
205,9,15,9,15,9;10;15
206,9,16,9,16,9;10;16
207,9,17,9,17,9;10;16;17
208,9,18,9,18,9;10;16;18
209,9,19,9,19,9;10;16;17;19
210,9,20,9,20,9;10;16;18;20
211,9,21,9,21,9;10;15;22;21
212,9,22,9,22,9;10;15;22
213,9,23,9,23,9;10;11;14;23
214,9,23,9,23,9;10;15;22;23
215,9,24,9,24,9;10;15;22;21;24
216,10,1,10,1,10;9;5;4;3;1
217,10,2,10,2,10;16;8;6;2
218,10,3,10,3,10;9;5;4;3
219,10,4,10,4,10;9;5;4
220,10,5,10,5,10;9;5
221,10,6,10,6,10;16;8;6
222,10,7,10,7,10;16;18;7
223,10,8,10,8,10;16;8
224,10,9,10,9,10;9
225,10,11,10,11,10;11
226,10,12,10,12,10;11;12
227,10,13,10,13,10;11;12;13
228,10,14,10,14,10;11;14
229,10,15,10,15,10;15
230,10,16,10,16,10;16
231,10,17,10,17,10;16;17
232,10,18,10,18,10;16;18
233,10,19,10,19,10;16;17;19
234,10,20,10,20,10;16;18;20
235,10,21,10,21,10;15;22;21
236,10,22,10,22,10;15;22
237,10,23,10,23,10;11;14;23
238,10,23,10,23,10;15;22;23
239,10,24,10,24,10;15;22;21;24
240,11,1,11,1,11;4;3;1
241,11,1,11,1,11;12;3;1
242,11,2,11,2,11;4;5;6;2
243,11,3,11,3,11;4;3
244,11,3,11,3,11;12;3
245,11,4,11,4,11;4
246,11,5,11,5,11;4;5
247,11,6,11,6,11;4;5;6
248,11,7,11,7,11;10;16;18;7
249,11,8,11,8,11;10;16;8
250,11,9,11,9,11;10;9
251,11,10,11,10,11;10
252,11,12,11,12,11;12
253,11,13,11,13,11;12;13
254,11,14,11,14,11;14
255,11,15,11,15,11;14;15
256,11,16,11,16,11;10;16
257,11,17,11,17,11;10;16;17
258,11,18,11,18,11;10;16;18
259,11,19,11,19,11;14;15;19
260,11,20,11,20,11;10;16;18;20
261,11,20,11,20,11;14;15;19;20
262,11,21,11,21,11;14;23;24;21
263,11,22,11,22,11;14;15;22
264,11,22,11,22,11;14;23;22
265,11,23,11,23,11;14;23
266,11,24,11,24,11;14;23;24
267,12,1,12,1,12;3;1
268,12,2,12,2,12;3;1;2
269,12,3,12,3,12;3
270,12,4,12,4,12;3;4
271,12,5,12,5,12;3;4;5
272,12,6,12,6,12;3;4;5;6
273,12,7,12,7,12;3;4;5;6;8;7
274,12,8,12,8,12;3;4;5;6;8
275,12,9,12,9,12;11;10;9
276,12,10,12,10,12;11;10
277,12,11,12,11,12;11
278,12,13,12,13,12;13
279,12,14,12,14,12;11;14
280,12,15,12,15,12;11;14;15
281,12,16,12,16,12;11;10;16
282,12,17,12,17,12;11;10;16;17
283,12,18,12,18,12;11;10;16;18
284,12,19,12,19,12;11;14;15;19
285,12,20,12,20,12;13;24;21;20
286,12,21,12,21,12;13;24;21
287,12,22,12,22,12;13;24;21;22
288,12,23,12,23,12;13;24;23
289,12,24,12,24,12;13;24
290,13,1,13,1,13;12;3;1
291,13,2,13,2,13;12;3;1;2
292,13,3,13,3,13;12;3
293,13,4,13,4,13;12;3;4
294,13,5,13,5,13;12;3;4;5
295,13,6,13,6,13;12;3;4;5;6
296,13,7,13,7,13;24;21;20;18;7
297,13,8,13,8,13;12;3;4;5;6;8
298,13,9,13,9,13;12;11;10;9
299,13,10,13,10,13;12;11;10
300,13,11,13,11,13;12;11
301,13,12,13,12,13;12
302,13,14,13,14,13;24;23;14
303,13,15,13,15,13;24;21;22;15
304,13,16,13,16,13;12;11;10;16
305,13,17,13,17,13;24;21;22;15;19;17
306,13,18,13,18,13;24;21;20;18
307,13,19,13,19,13;24;21;22;15;19
308,13,20,13,20,13;24;21;20
309,13,21,13,21,13;24;21
310,13,22,13,22,13;24;21;22
311,13,23,13,23,13;24;23
312,13,24,13,24,13;24
313,14,1,14,1,14;11;4;3;1
314,14,1,14,1,14;11;12;3;1
315,14,2,14,2,14;11;4;5;6;2
316,14,3,14,3,14;11;4;3
317,14,3,14,3,14;11;12;3
318,14,4,14,4,14;11;4
319,14,5,14,5,14;11;4;5
320,14,6,14,6,14;11;4;5;6
321,14,7,14,7,14;15;19;17;16;18;7
322,14,8,14,8,14;15;19;17;16;8
323,14,9,14,9,14;11;10;9
324,14,10,14,10,14;11;10
325,14,11,14,11,14;11
326,14,12,14,12,14;11;12
327,14,13,14,13,14;23;24;13
328,14,15,14,15,14;15
329,14,16,14,16,14;15;19;17;16
330,14,17,14,17,14;15;19;17
331,14,18,14,18,14;15;19;17;16;18
332,14,19,14,19,14;15;19
333,14,20,14,20,14;15;19;20
334,14,21,14,21,14;23;24;21
335,14,22,14,22,14;15;22
336,14,22,14,22,14;23;22
337,14,23,14,23,14;23
338,14,24,14,24,14;23;24
339,15,1,15,1,15;14;11;4;3;1
340,15,1,15,1,15;14;11;12;3;1
341,15,2,15,2,15;19;17;16;8;6;2
342,15,3,15,3,15;14;11;4;3
343,15,3,15,3,15;14;11;12;3
344,15,4,15,4,15;14;11;4
345,15,5,15,5,15;10;9;5
346,15,6,15,6,15;19;17;16;8;6
347,15,7,15,7,15;19;17;16;18;7
348,15,8,15,8,15;19;17;16;8
349,15,9,15,9,15;10;9
350,15,10,15,10,15;10
351,15,11,15,11,15;14;11
352,15,12,15,12,15;14;11;12
353,15,13,15,13,15;22;21;24;13
354,15,14,15,14,15;14
355,15,16,15,16,15;19;17;16
356,15,17,15,17,15;19;17
357,15,18,15,18,15;19;17;16;18
358,15,19,15,19,15;19
359,15,20,15,20,15;19;20
360,15,21,15,21,15;22;21
361,15,22,15,22,15;22
362,15,23,15,23,15;22;23
363,15,24,15,24,15;22;21;24
364,16,1,16,1,16;8;6;2;1
365,16,2,16,2,16;8;6;2
366,16,3,16,3,16;8;6;5;4;3
367,16,4,16,4,16;8;6;5;4
368,16,5,16,5,16;8;6;5
369,16,6,16,6,16;8;6
370,16,7,16,7,16;18;7
371,16,8,16,8,16;8
372,16,9,16,9,16;10;9
373,16,10,16,10,16;10
374,16,11,16,11,16;10;11
375,16,12,16,12,16;10;11;12
376,16,13,16,13,16;10;11;12;13
377,16,14,16,14,16;17;19;15;14
378,16,15,16,15,16;17;19;15
379,16,17,16,17,16;17
380,16,18,16,18,16;18
381,16,19,16,19,16;17;19
382,16,20,16,20,16;18;20
383,16,21,16,21,16;17;19;15;22;21
384,16,22,16,22,16;17;19;15;22
385,16,23,16,23,16;17;19;15;22;23
386,16,24,16,24,16;17;19;15;22;21;24
387,17,1,17,1,17;16;8;6;2;1
388,17,2,17,2,17;16;8;6;2
389,17,3,17,3,17;16;8;6;5;4;3
390,17,4,17,4,17;16;8;6;5;4
391,17,5,17,5,17;16;8;6;5
392,17,6,17,6,17;16;8;6
393,17,7,17,7,17;16;18;7
394,17,8,17,8,17;16;8
395,17,9,17,9,17;16;10;9
396,17,10,17,10,17;16;10
397,17,11,17,11,17;16;10;11
398,17,12,17,12,17;16;10;11;12
399,17,13,17,13,17;19;15;22;21;24;13
400,17,14,17,14,17;19;15;14
401,17,15,17,15,17;19;15
402,17,16,17,16,17;16
403,17,18,17,18,17;16;18
404,17,19,17,19,17;19
405,17,20,17,20,17;19;20
406,17,21,17,21,17;19;15;22;21
407,17,22,17,22,17;19;15;22
408,17,23,17,23,17;19;15;22;23
409,17,24,17,24,17;19;15;22;21;24
410,18,1,18,1,18;7;8;6;2;1
411,18,2,18,2,18;7;8;6;2
412,18,3,18,3,18;7;8;6;5;4;3
413,18,4,18,4,18;7;8;6;5;4
414,18,5,18,5,18;7;8;6;5
415,18,6,18,6,18;7;8;6
416,18,7,18,7,18;7
417,18,8,18,8,18;7;8
418,18,9,18,9,18;16;10;9
419,18,10,18,10,18;16;10
420,18,11,18,11,18;16;10;11
421,18,12,18,12,18;16;10;11;12
422,18,13,18,13,18;20;21;24;13
423,18,14,18,14,18;16;17;19;15;14
424,18,15,18,15,18;16;17;19;15
425,18,16,18,16,18;16
426,18,17,18,17,18;16;17
427,18,19,18,19,18;16;17;19
428,18,20,18,20,18;20
429,18,21,18,21,18;20;21
430,18,22,18,22,18;20;22
431,18,23,18,23,18;20;22;23
432,18,24,18,24,18;20;21;24
433,19,1,19,1,19;17;16;8;6;2;1
434,19,2,19,2,19;17;16;8;6;2
435,19,3,19,3,19;17;16;8;6;5;4;3
436,19,4,19,4,19;17;16;8;6;5;4
437,19,5,19,5,19;17;16;8;6;5
438,19,6,19,6,19;17;16;8;6
439,19,7,19,7,19;17;16;18;7
440,19,8,19,8,19;17;16;8
441,19,9,19,9,19;17;16;10;9
442,19,10,19,10,19;17;16;10
443,19,11,19,11,19;15;14;11
444,19,12,19,12,19;15;14;11;12
445,19,13,19,13,19;15;22;21;24;13
446,19,14,19,14,19;15;14
447,19,15,19,15,19;15
448,19,16,19,16,19;17;16
449,19,17,19,17,19;17
450,19,18,19,18,19;17;16;18
451,19,20,19,20,19;20
452,19,21,19,21,19;15;22;21
453,19,22,19,22,19;15;22
454,19,23,19,23,19;15;22;23
455,19,24,19,24,19;15;22;21;24
456,20,1,20,1,20;18;7;8;6;2;1
457,20,2,20,2,20;18;7;8;6;2
458,20,3,20,3,20;21;24;13;12;3
459,20,4,20,4,20;18;7;8;6;5;4
460,20,5,20,5,20;18;7;8;6;5
461,20,6,20,6,20;18;7;8;6
462,20,7,20,7,20;18;7
463,20,8,20,8,20;18;7;8
464,20,9,20,9,20;18;16;10;9
465,20,10,20,10,20;18;16;10
466,20,11,20,11,20;18;16;10;11
467,20,12,20,12,20;21;24;13;12
468,20,13,20,13,20;21;24;13
469,20,14,20,14,20;19;15;14
470,20,15,20,15,20;19;15
471,20,16,20,16,20;18;16
472,20,17,20,17,20;19;17
473,20,18,20,18,20;18
474,20,19,20,19,20;19
475,20,21,20,21,20;21
476,20,22,20,22,20;22
477,20,23,20,23,20;22;23
478,20,24,20,24,20;21;24
479,21,1,21,1,21;24;13;12;3;1
480,21,2,21,2,21;20;18;7;8;6;2
481,21,3,21,3,21;24;13;12;3
482,21,4,21,4,21;24;13;12;3;4
483,21,5,21,5,21;22;15;10;9;5
484,21,6,21,6,21;20;18;7;8;6
485,21,7,21,7,21;20;18;7
486,21,8,21,8,21;20;18;7;8
487,21,9,21,9,21;22;15;10;9
488,21,10,21,10,21;22;15;10
489,21,11,21,11,21;24;23;14;11
490,21,12,21,12,21;24;13;12
491,21,13,21,13,21;24;13
492,21,14,21,14,21;24;23;14
493,21,15,21,15,21;22;15
494,21,16,21,16,21;22;15;19;17;16
495,21,17,21,17,21;22;15;19;17
496,21,18,21,18,21;20;18
497,21,19,21,19,21;22;15;19
498,21,20,21,20,21;20
499,21,22,21,22,21;22
500,21,23,21,23,21;24;23
501,21,24,21,24,21;24
502,22,1,22,1,22;21;24;13;12;3;1
503,22,2,22,2,22;20;18;7;8;6;2
504,22,3,22,3,22;21;24;13;12;3
505,22,4,22,4,22;15;14;11;4
506,22,4,22,4,22;23;14;11;4
507,22,5,22,5,22;15;10;9;5
508,22,6,22,6,22;20;18;7;8;6
509,22,7,22,7,22;20;18;7
510,22,8,22,8,22;20;18;7;8
511,22,9,22,9,22;15;10;9
512,22,10,22,10,22;15;10
513,22,11,22,11,22;15;14;11
514,22,11,22,11,22;23;14;11
515,22,12,22,12,22;21;24;13;12
516,22,13,22,13,22;21;24;13
517,22,14,22,14,22;15;14
518,22,14,22,14,22;23;14
519,22,15,22,15,22;15
520,22,16,22,16,22;15;19;17;16
521,22,17,22,17,22;15;19;17
522,22,18,22,18,22;20;18
523,22,19,22,19,22;15;19
524,22,20,22,20,22;20
525,22,21,22,21,22;21
526,22,23,22,23,22;23
527,22,24,22,24,22;21;24
528,23,1,23,1,23;24;13;12;3;1
529,23,2,23,2,23;24;13;12;3;1;2
530,23,3,23,3,23;24;13;12;3
531,23,4,23,4,23;14;11;4
532,23,5,23,5,23;14;11;4;5
533,23,6,23,6,23;14;11;4;5;6
534,23,7,23,7,23;22;20;18;7
535,23,8,23,8,23;22;20;18;7;8
536,23,9,23,9,23;14;11;10;9
537,23,9,23,9,23;22;15;10;9
538,23,10,23,10,23;14;11;10
539,23,10,23,10,23;22;15;10
540,23,11,23,11,23;14;11
541,23,12,23,12,23;24;13;12
542,23,13,23,13,23;24;13
543,23,14,23,14,23;14
544,23,15,23,15,23;22;15
545,23,16,23,16,23;22;15;19;17;16
546,23,17,23,17,23;22;15;19;17
547,23,18,23,18,23;22;20;18
548,23,19,23,19,23;22;15;19
549,23,20,23,20,23;22;20
550,23,21,23,21,23;24;21
551,23,22,23,22,23;22
552,23,24,23,24,23;24
553,24,1,24,1,24;13;12;3;1
554,24,2,24,2,24;13;12;3;1;2
555,24,3,24,3,24;13;12;3
556,24,4,24,4,24;13;12;3;4
557,24,5,24,5,24;13;12;3;4;5
558,24,6,24,6,24;21;20;18;7;8;6
559,24,7,24,7,24;21;20;18;7
560,24,8,24,8,24;21;20;18;7;8
561,24,9,24,9,24;21;22;15;10;9
562,24,10,24,10,24;21;22;15;10
563,24,11,24,11,24;23;14;11
564,24,12,24,12,24;13;12
565,24,13,24,13,24;13
566,24,14,24,14,24;23;14
567,24,15,24,15,24;21;22;15
568,24,16,24,16,24;21;22;15;19;17;16
569,24,17,24,17,24;21;22;15;19;17
570,24,18,24,18,24;21;20;18
571,24,19,24,19,24;21;22;15;19
572,24,20,24,20,24;21;20
573,24,21,24,21,24;21
574,24,22,24,22,24;21;22
575,24,23,24,23,24;23
